FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,EmployeeClassificationType,TerminationType,DepartmentType,Division,DOB,State,GenderCode,Performance Score,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Training Program Name,Training Type,Training Outcome,Location,Training Cost
Kayden,Dodson,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Temporary,Retirement,Sales,Field Operations,1951-06-21,IN,Male,Fully Meets,3463,2022-09-18,4,3,Technical Skills,Internal,Incomplete,Harperchester,926.19
James,Duke,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Full-Time,Involuntary,Sales,Shop (Fleet),1998-06-17,MA,Male,Needs Improvement,3464,2022-12-29,2,5,Customer Service,External,Passed,Trevorside,290.47
Clayton,Walker,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Full-Time,Retirement,IT/IS,Aerial,1979-01-26,KY,Male,Exceeds,3466,2023-08-04,1,3,Customer Service,External,Passed,West Angelaside,447.66
Ryland,Shepherd,2020-07-29,2023-01-05,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Full-Time,Resignation,Sales,Field Operations,1945-02-21,TX,Female,Needs Improvement,3469,2023-08-01,5,5,Communication Skills,Internal,Failed,North Jeanetteville,552.54
Esteban,Gilbert,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Part-Time,Retirement,Sales,Field Operations,1997-05-31,TX,Female,Needs Improvement,3470,2023-05-06,1,2,Project Management,External,Passed,New Molly,986.96
Vance,Trujillo,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Temporary,Resignation,Sales,General - Con,1957-12-25,IN,Male,Fully Meets,3475,2023-01-25,4,3,Customer Service,Internal,Passed,South Taylorfurt,648.76
Charlie,Koch,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Temporary,Voluntary,Sales,Fielders,1945-06-20,MA,Male,Needs Improvement,3476,2023-03-03,5,5,Leadership Development,Internal,Incomplete,Stephanieshire,533.5
Thomas,Chandler,2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Temporary,Resignation,Sales,Wireline Construction,1957-10-10,KY,Female,Fully Meets,3478,2022-11-29,3,4,Technical Skills,External,Incomplete,Port Matthew,526.74
Sarai,Stone,2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Part-Time,Involuntary,Sales,Project Management - Con,1962-05-17,TX,Female,Fully Meets,3479,2022-11-03,4,4,Communication Skills,Internal,Passed,Stephanieburgh,443.45
Jerimiah,Harmon,2022-09-08,2022-10-16,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Temporary,Retirement,Sales,Catv,1946-08-09,TX,Female,Fully Meets,3480,2023-07-25,1,5,Leadership Development,External,Failed,North Amyfurt,887.15
Leland,Allen,2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Part-Time,Voluntary,Sales,Wireline Construction,1965-12-11,TX,Male,Fully Meets,3481,2023-03-02,5,2,Technical Skills,External,Incomplete,East Charleston,758.95
Cristal,Bolton,2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Temporary,Resignation,Sales,Catv,1990-02-11,TX,Male,Needs Improvement,3482,2022-10-22,4,5,Technical Skills,Internal,Failed,Saraland,627.11
Brendon,Mcconnell,2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Temporary,Involuntary,Sales,Fielders,1990-11-14,IN,Male,Fully Meets,3486,2022-08-27,3,1,Project Management,Internal,Completed,Lake Angelafort,812.59
Tia,Ellis,2023-06-22,2023-07-22,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,TNS,Active,Part-Time,Temporary,Retirement,Sales,Wireline Construction,1993-01-27,IN,Male,Fully Meets,3495,2022-09-08,4,3,Customer Service,External,Passed,Port Andrew,701.55
Joel,Mcmillan,2023-04-26,2023-06-22,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,PYZ,Active,Full-Time,Full-Time,Voluntary,Sales,General - Sga,1998-10-17,KY,Female,Fully Meets,3498,2023-06-19,3,3,Project Management,External,Failed,Yorkport,208.43
Maci,Frost,2018-09-25,2021-12-20,Area Sales Manager,Patrick Daniel,maci.frost@bilearner.com,WBL,Active,Part-Time,Temporary,Involuntary,Sales,Field Operations,1971-01-16,KY,Female,Fully Meets,3499,2023-07-21,5,3,Technical Skills,Internal,Incomplete,East Bradley,762.45
Nevaeh,Lucas,2018-11-20,2020-06-21,Area Sales Manager,Bryan Douglas,nevaeh.lucas@bilearner.com,NEL,Active,Full-Time,Part-Time,Voluntary,Sales,Shop (Fleet),2000-02-25,TX,Female,Fully Meets,3500,2023-05-14,4,1,Leadership Development,External,Incomplete,Smithchester,779.79
Garrett,Zimmerman,2020-08-30,2022-08-30,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,PL,Future Start,Part-Time,Part-Time,Retirement,Sales,General - Con,1959-04-19,TX,Male,Fully Meets,3501,2023-02-20,2,3,Project Management,External,Passed,South Kaylachester,135.95
Laila,Woodard,2019-08-27,2023-05-10,Area Sales Manager,Jordan Vega,laila.woodard@bilearner.com,MSC,Active,Full-Time,Temporary,Voluntary,Sales,Field Operations,1988-07-06,IN,Male,Fully Meets,3506,2023-06-27,2,2,Leadership Development,Internal,Completed,Deleonport,781.81
Ivan,Huff,2021-02-25,2023-04-07,Area Sales Manager,John Miller,ivan.huff@bilearner.com,TNS,Active,Full-Time,Full-Time,Retirement,Sales,Project Management - Con,1973-03-24,CA,Male,Fully Meets,3507,2023-03-31,2,5,Project Management,Internal,Passed,Loriberg,651.77
Karli,Barker,2021-08-17,2021-12-31,Area Sales Manager,Shawn Dudley,karli.barker@bilearner.com,WBL,Active,Part-Time,Full-Time,Resignation,Sales,Finance & Accounting,1997-02-18,KY,Female,Fully Meets,3511,2023-05-11,5,4,Technical Skills,Internal,Completed,Anthonyville,344.44
Tyrone,Sosa,2023-04-17,2023-06-22,Area Sales Manager,Lindsay Chang,tyrone.sosa@bilearner.com,NEL,Future Start,Contract,Temporary,Voluntary,Sales,Yard (Material Handling),1996-10-25,TX,Female,Fully Meets,3512,2023-02-20,5,1,Communication Skills,Internal,Failed,Bryantport,206.44
Damaris,Cisneros,2022-09-02,2023-05-24,Area Sales Manager,Sharon Ruiz,damaris.cisneros@bilearner.com,PL,Future Start,Contract,Temporary,Involuntary,Sales,General - Con,1959-11-13,TX,Male,Fully Meets,3513,2023-05-11,4,1,Communication Skills,External,Completed,East Adam,599.0
Kinsley,Flowers,2022-03-09,2022-12-10,Area Sales Manager,Mary Reilly,kinsley.flowers@bilearner.com,CCDR,Future Start,Part-Time,Part-Time,Retirement,Sales,Finance & Accounting,1997-04-29,CO,Male,Fully Meets,3515,2023-07-03,3,5,Customer Service,Internal,Completed,West Keith,143.96
Deborah,Love,2022-04-07,2023-01-22,Area Sales Manager,Eric Goodman,deborah.love@bilearner.com,SVG,Active,Contract,Part-Time,Retirement,Sales,Project Management - Con,1988-06-25,CO,Male,Fully Meets,3516,2022-11-15,2,3,Technical Skills,Internal,Incomplete,Lake Stephen,570.42
Roberto,Michael,2021-04-10,2022-07-04,Area Sales Manager,Cheryl Henry,roberto.michael@bilearner.com,MSC,Active,Contract,Part-Time,Involuntary,Sales,General - Eng,1969-05-24,CA,Female,Fully Meets,3518,2023-05-13,4,2,Customer Service,Internal,Completed,Port Vanessafort,826.58
Elaine,Ewing,2021-12-19,2022-03-02,Area Sales Manager,Dan Hernandez,elaine.ewing@bilearner.com,TNS,Active,Part-Time,Temporary,Resignation,Sales,Aerial,1951-03-28,CA,Male,Fully Meets,3519,2023-06-10,1,3,Leadership Development,External,Incomplete,Deborahshire,930.69
Caiden,Munoz,2020-12-13,2023-01-13,Area Sales Manager,Teresa Daniel,caiden.munoz@bilearner.com,TNS,Active,Full-Time,Temporary,Involuntary,Sales,Project Management - Con,1963-03-01,ND,Female,Fully Meets,3520,2022-09-17,5,1,Customer Service,External,Incomplete,North Anthonybury,607.93
Rohan,Chapman,2021-06-25,2022-08-25,Area Sales Manager,Tony Mcconnell,rohan.chapman@bilearner.com,CCDR,Active,Full-Time,Temporary,Resignation,Sales,General - Con,1978-12-19,KY,Female,Fully Meets,3523,2023-02-27,3,2,Leadership Development,External,Incomplete,South William,451.18
Emmanuel,Franklin,2021-07-26,2022-05-04,Area Sales Manager,Adam Gibson,emmanuel.franklin@bilearner.com,EW,Future Start,Contract,Full-Time,Resignation,Sales,Field Operations,1999-11-11,TX,Male,Fully Meets,3524,2023-05-19,3,2,Communication Skills,Internal,Completed,Wilsonmouth,124.65
Clayton,Mccormick,2022-07-03,2023-01-10,Area Sales Manager,Stephanie Duke,clayton.mccormick@bilearner.com,MSC,Future Start,Contract,Temporary,Retirement,Sales,General - Con,1967-01-29,TX,Male,Fully Meets,3525,2023-02-01,1,2,Leadership Development,External,Incomplete,East Michaelburgh,237.75
Ahmed,Hawkins,2020-05-01,2021-02-25,Area Sales Manager,Hannah Snyder,ahmed.hawkins@bilearner.com,PL,Active,Full-Time,Temporary,Retirement,Sales,Aerial,1974-10-15,CO,Male,Fully Meets,3527,2023-02-27,1,3,Project Management,Internal,Failed,Berryland,396.28
Callum,Mcdaniel,2020-01-03,2020-08-24,Area Sales Manager,Samuel Moore,callum.mcdaniel@bilearner.com,SVG,Active,Part-Time,Full-Time,Voluntary,Sales,Field Operations,1994-06-18,IN,Male,Fully Meets,3529,2023-07-15,2,3,Project Management,Internal,Incomplete,South Andretown,515.56
Slade,Griffith,2021-06-01,2023-07-16,Area Sales Manager,Kelsey Gibson,slade.griffith@bilearner.com,MSC,Active,Contract,Full-Time,Voluntary,Sales,General - Sga,1966-11-12,ND,Male,Fully Meets,3533,2023-01-08,2,5,Leadership Development,Internal,Completed,North Janet,418.4
Veronica,Rowe,2018-12-11,2022-06-02,Area Sales Manager,Brian Morton,veronica.rowe@bilearner.com,PYZ,Active,Full-Time,Temporary,Retirement,Sales,Fielders,1994-02-02,KY,Female,Fully Meets,3535,2022-11-01,1,5,Technical Skills,External,Incomplete,Derrickview,936.96
Neveah,Rowe,2022-05-28,2023-02-24,Area Sales Manager,Dawn Perez,neveah.rowe@bilearner.com,NEL,Future Start,Contract,Part-Time,Retirement,Sales,Field Operations,1954-07-11,TX,Male,Fully Meets,3537,2022-09-09,4,2,Leadership Development,Internal,Completed,Griffintown,853.77
Keith,Baxter,2019-06-16,2022-03-05,Area Sales Manager,Diane Parker,keith.baxter@bilearner.com,PL,Future Start,Part-Time,Part-Time,Resignation,Sales,Fielders,1959-08-29,TX,Male,Fully Meets,3538,2023-04-20,1,5,Technical Skills,Internal,Failed,East Crystal,141.07
Maya,Mccann,2020-03-12,2022-10-09,Area Sales Manager,Dakota Robinson,maya.mccann@bilearner.com,CCDR,Active,Full-Time,Part-Time,Retirement,Sales,Splicing,1983-06-09,CO,Male,Exceeds,3540,2023-06-25,2,2,Communication Skills,External,Incomplete,West Josephmouth,903.46
Aaron,Weber,2020-04-06,2023-07-24,Area Sales Manager,Melanie Garcia,aaron.weber@bilearner.com,SVG,Active,Full-Time,Full-Time,Involuntary,Sales,Field Operations,1991-10-27,IN,Male,Exceeds,3541,2022-11-28,1,3,Customer Service,External,Passed,East Timothy,380.3
Samara,Mcbride,2023-06-29,2023-07-09,Area Sales Manager,Laura Salinas,samara.mcbride@bilearner.com,TNS,Active,Contract,Temporary,Retirement,Sales,Aerial,2000-09-16,CA,Male,Fully Meets,3544,2022-09-14,3,5,Leadership Development,External,Passed,Rayborough,842.93
Paris,Carr,2021-07-31,2023-01-27,Area Sales Manager,Jeffrey Huffman,paris.carr@bilearner.com,CCDR,Active,Full-Time,Part-Time,Voluntary,Sales,General - Con,1980-07-14,ND,Male,Exceeds,3546,2023-05-10,2,5,Project Management,External,Passed,New Faith,426.45
Sanaa,Glass,2021-07-11,2022-10-10,Area Sales Manager,Stephen Garcia,sanaa.glass@bilearner.com,WBL,Active,Part-Time,Full-Time,Resignation,Sales,General - Con,1964-01-25,KY,Female,Fully Meets,3548,2022-10-06,5,5,Leadership Development,External,Passed,Lake Tinamouth,368.8
Ryan,Lynch,2018-10-15,2020-10-18,Area Sales Manager,Tracy Castro MD,ryan.lynch@bilearner.com,TNS,Active,Full-Time,Full-Time,Retirement,Sales,Field Operations,1955-03-17,GA,Female,Fully Meets,3549,2023-04-19,1,4,Communication Skills,External,Failed,Claudiashire,788.67
Charlie,Atkinson,2021-11-26,2022-10-14,Area Sales Manager,Jennifer Hicks,charlie.atkinson@bilearner.com,SVG,Future Start,Part-Time,Temporary,Resignation,Sales,Wireline Construction,1988-03-26,TX,Male,Fully Meets,3550,2023-01-23,3,5,Project Management,Internal,Completed,New Bonnie,363.11
Harper,Ramos,2020-02-16,2020-06-03,Area Sales Manager,Maria Chan,harper.ramos@bilearner.com,PL,Active,Full-Time,Full-Time,Retirement,Sales,Field Operations,1942-08-11,CO,Male,Needs Improvement,3552,2022-10-14,3,4,Leadership Development,External,Failed,Charlottebury,480.87
Matilda,Randall,2023-01-06,2023-05-07,Area Sales Manager,Daniel Wolf,matilda.randall@bilearner.com,EW,Active,Full-Time,Temporary,Resignation,Sales,General - Eng,1988-01-11,IN,Female,Fully Meets,3555,2023-01-13,2,5,Leadership Development,External,Passed,Nashview,566.12
Damien,Howe,2019-07-18,2020-01-15,Area Sales Manager,Sarah Petersen,damien.howe@bilearner.com,CCDR,Active,Full-Time,Temporary,Retirement,Sales,Wireline Construction,1961-06-16,CA,Male,Exceeds,3556,2023-06-11,2,2,Customer Service,Internal,Incomplete,Christinastad,513.92
Wilson K,Adinolfi,2019-11-06,2020-09-06,Production Technician I,Andrea Gutierrez,wilson k.adinolfi@bilearner.com,NEL,Active,Part-Time,Full-Time,Retirement,Production       ,Field Operations,1991-11-18,MA,Male,Fully Meets,3559,2022-12-27,3,2,Project Management,External,Failed,West Michelletown,959.81
Jean,Crimmings,2019-05-21,2023-01-05,Production Technician I,Stephen Rodriguez,jean.crimmings@bilearner.com,CCDR,Future Start,Contract,Full-Time,Retirement,Production       ,Shop (Fleet),1954-04-09,MA,Female,Exceeds,3562,2022-11-27,2,1,Project Management,External,Failed,West William,808.05
Susan,Lundy,2019-01-26,2020-12-02,Production Technician II,Diana Johnson,susan.lundy@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Temporary,Resignation,Production       ,Aerial,1994-11-07,MA,Female,Fully Meets,3564,2023-03-12,4,4,Technical Skills,External,Incomplete,North Richard,106.14
Quinn,Rarrick,2023-07-11,2023-07-29,Production Technician I,Susan Brown,quinn.rarrick@bilearner.com,EW,Voluntarily Terminated,Full-Time,Part-Time,Involuntary,Production       ,Field Operations,1974-12-08,MA,Male,Fully Meets,3568,2023-02-07,2,4,Project Management,Internal,Incomplete,Frenchside,201.76
Beatrice,Chace,2019-02-09,2020-08-28,Production Technician I,Margaret Hampton,beatrice.chace@bilearner.com,MSC,Active,Part-Time,Temporary,Involuntary,Production       ,Catv,1995-07-19,MA,Female,Fully Meets,3569,2022-12-24,1,3,Technical Skills,External,Incomplete,Fernandezborough,730.04
Adrienne J,Homberger,2019-04-19,2021-10-26,Production Technician II,Brandon Miller,adrienne j.homberger@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Temporary,Voluntary,Production       ,Fielders,1974-11-23,MA,Female,Fully Meets,3570,2023-01-02,2,5,Project Management,External,Failed,Port Kristopherfurt,796.88
Marilyn,Linares,2022-07-07,2023-07-17,Production Technician I,Dr. Matthew Schmitt,marilyn.linares@bilearner.com,NEL,Voluntarily Terminated,Part-Time,Full-Time,Resignation,Production       ,Field Operations,1947-08-29,MA,Female,Fully Meets,3571,2022-11-23,4,1,Project Management,External,Completed,North William,834.44
Timothy,Sullivan,2019-03-12,2020-05-19,Production Technician I,Shawn Berry,timothy.sullivan@bilearner.com,WBL,Active,Contract,Part-Time,Retirement,Production       ,Fielders,1994-06-07,MA,Male,Fully Meets,3572,2022-12-05,5,5,Leadership Development,Internal,Failed,Port Dennis,569.17
Jennifer,Medeiros,2020-03-09,2021-10-17,Production Technician I,Brittany Martin,jennifer.medeiros@bilearner.com,NEL,Active,Contract,Full-Time,Involuntary,Production       ,Field Operations,1983-10-26,MA,Female,Exceeds,3573,2022-12-31,4,1,Customer Service,Internal,Completed,Port Desireeburgh,386.07
Anna,Von Massenbach,2021-05-18,2022-01-04,Production Technician I,Timothy Weaver,anna.von massenbach@bilearner.com,WBL,Future Start,Contract,Full-Time,Involuntary,Production       ,Underground,1951-05-06,MA,Female,Fully Meets,3574,2023-07-07,3,3,Customer Service,Internal,Completed,Port Amy,309.56
George,Johnson,2021-04-28,2022-01-18,Production Technician I,Amanda Smith,george.johnson@bilearner.com,MSC,Voluntarily Terminated,Part-Time,Temporary,Resignation,Production       ,Field Operations,1987-03-05,MA,Male,Exceeds,3575,2023-06-26,5,1,Technical Skills,Internal,Incomplete,South Paulport,583.21
Angela,Erilus,2021-07-21,2023-04-26,Production Technician II,Marc Cummings,angela.erilus@bilearner.com,PL,Active,Full-Time,Full-Time,Voluntary,Production       ,Engineers,1992-04-26,MA,Female,Exceeds,3576,2023-03-23,2,3,Project Management,External,Completed,East Taylor,398.65
Ross,Strickland,2020-11-20,2023-05-01,Production Technician I,Paul Walker,ross.strickland@bilearner.com,SVG,Active,Full-Time,Part-Time,Voluntary,Production       ,Wireline Construction,1943-03-08,MA,Male,Fully Meets,3581,2022-08-29,3,4,Communication Skills,External,Completed,Michaelberg,122.07
Augustus,Drake,2020-08-19,2022-05-04,Production Technician I,Elizabeth Robertson,augustus.drake@bilearner.com,TNS,Active,Part-Time,Part-Time,Retirement,Production       ,Yard (Material Handling),1968-08-09,MA,Male,Fully Meets,3582,2022-09-17,2,2,Communication Skills,Internal,Completed,Lopezborough,875.02
Gracelyn,Huynh,2021-04-28,2022-04-18,Production Technician I,Tasha Mayer,gracelyn.huynh@bilearner.com,WBL,Active,Full-Time,Temporary,Retirement,Production       ,Field Operations,1958-11-20,MA,Female,Needs Improvement,3583,2023-07-05,4,1,Communication Skills,Internal,Incomplete,Philipburgh,116.4
Jaqueline,Terrell,2019-02-01,2019-02-10,Production Technician I,Veronica Wiley,jaqueline.terrell@bilearner.com,EW,Active,Part-Time,Full-Time,Resignation,Production       ,People Services,2000-12-27,MA,Female,Fully Meets,3586,2023-01-31,4,2,Communication Skills,External,Completed,Browntown,502.7
Quinn,Mccullough,2021-05-10,2021-12-17,Production Technician I,Katherine Gay,quinn.mccullough@bilearner.com,MSC,Active,Full-Time,Temporary,Resignation,Production       ,General - Eng,1977-12-25,MA,Male,Fully Meets,3587,2023-05-24,1,2,Leadership Development,External,Completed,New Larryshire,570.04
Selena,Greer,2019-06-25,2019-08-15,Production Technician I,Paul Lopez,selena.greer@bilearner.com,NEL,Active,Full-Time,Full-Time,Retirement,Production       ,Shop (Fleet),1972-03-08,MA,Male,Fully Meets,3588,2023-05-10,4,2,Communication Skills,External,Passed,Montgomeryland,538.83
Dominik,Mullen,2021-02-25,2022-10-13,Production Technician I,Jessica Allen,dominik.mullen@bilearner.com,PYZ,Future Start,Part-Time,Full-Time,Retirement,Production       ,Field Operations,1995-05-31,MA,Male,Fully Meets,3590,2022-12-06,2,5,Leadership Development,External,Completed,North Janetbury,274.33
Abdullah,Ellison,2021-11-23,2023-05-29,Production Technician I,Dr. William Thompson,abdullah.ellison@bilearner.com,SVG,Future Start,Contract,Part-Time,Voluntary,Production       ,Field Operations,1998-11-14,MA,Female,Needs Improvement,3591,2023-07-27,2,1,Customer Service,Internal,Failed,Michaelfurt,247.01
Andre,Guzman,2021-10-05,2022-06-18,Production Technician I,Mrs. Audrey Gonzalez DDS,andre.guzman@bilearner.com,TNS,Future Start,Contract,Full-Time,Voluntary,Production       ,Field Operations,1998-12-23,MA,Male,Fully Meets,3592,2022-11-15,4,1,Leadership Development,External,Incomplete,Williamsborough,734.68
Fisher,Stafford,2020-09-22,2022-09-14,Production Technician I,Nicole Delgado,fisher.stafford@bilearner.com,WBL,Active,Contract,Temporary,Resignation,Production       ,Engineers,1952-03-02,MA,Male,Fully Meets,3595,2023-01-19,2,3,Technical Skills,External,Passed,Popetown,252.88
Brenton,Monroe,2020-06-06,2021-04-14,Production Technician II,Autumn Decker,brenton.monroe@bilearner.com,PYZ,Future Start,Contract,Part-Time,Retirement,Production       ,General - Con,1986-10-31,MA,Female,Fully Meets,3597,2022-10-27,5,4,Technical Skills,External,Incomplete,Port Jennifershire,505.59
Derick,Rocha,2018-09-28,2023-08-05,Production Technician II,Alex Moore,derick.rocha@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Full-Time,Resignation,Production       ,Project Management - Eng,1950-10-06,MA,Female,Needs Improvement,3598,2023-07-01,2,5,Technical Skills,Internal,Passed,Aliciahaven,373.87
Helena,Davenport,2021-04-11,2023-05-24,Production Technician II,Crystal Mcneil,helena.davenport@bilearner.com,CCDR,Voluntarily Terminated,Full-Time,Part-Time,Involuntary,Production       ,Engineers,1994-10-12,MA,Female,Fully Meets,3602,2023-08-04,3,3,Technical Skills,External,Incomplete,New Michael,632.59
